#CaseLetter	ALTCode	LetterReplacement
À	ALT 0192	A
Á	ALT 0193	A
Â	ALT 0194	A
Ã	ALT 0195	A
Ä	ALT 142|0196	AE
Å	ALT 143|0197	A
Æ	ALT 146|0198	AE
Ç	ALT 128|0199	C
È	ALT 0200	E
É	ALT 144|0201	E
Ê	ALT 0202	E
Ë	ALT 0203	EE
Ì	ALT 0204	I
Í	ALT 0205	I
Î	ALT 0206	I
Ï	ALT 0207	IE
Ð	ALT 0208	Eth
Ñ	ALT 165|0209	N
Ò	ALT 0210	O
Ó	ALT 0211	O
Ô	ALT 0212	O
Õ	ALT 0213	O
Ö	ALT 153|0214	OE
Ø	ALT 0216	O
Ù	ALT 0217	U
Ú	ALT 0218	U
Û	ALT 0219	U
Ü	ALT 154|0220	UE
Ý	ALT 0221	Y
Þ	ALT 0222	TH
ß	ALT 225|0223	ss
à	ALT 133|0224	a
á	ALT 160|0225	a
â	ALT 131|0226	a
ã	ALT 0227	a
ä	ALT 132|0228	ae
å	ALT 134|0229	a
æ	ALT 145|0230	ae
ç	ALT 135|0231	c
è	ALT 138|0232	e
é	ALT 130|0233	e
ê	ALT 136|0234	e
ë	ALT 137|0235	ee
ì	ALT 141|0236	i
í	ALT 161|0237	i
î	ALT 140|0238	i
ï	ALT 139|0239	ie
ð	ALT 0240	eth
ñ	ALT 164|0241	n
ò	ALT 149|0242	o
ó	ALT 162|0243	o
ô	ALT 147|0244	o
õ	ALT 0245	o
ö	ALT 148|0246	oe
ø	ALT 0248	o
ù	ALT 151|0249	u
ú	ALT 163|0250	u
û	ALT 150|0251	u
ü	ALT 129|0252	ue
ý	ALT 0253	y
þ	ALT 0254	th
ÿ	ALT 152|0255	ye
Ā	ALT 0256	A
ā	ALT 0257	a
Ă	ALT 0258	A
ă	ALT 0259	a
Ą	ALT 0260	A
ą	ALT 0261	a
Ć	ALT 0262	C
ć	ALT 0263	c
Ĉ	ALT 0264	C
ĉ	ALT 0265	c
Ċ	ALT 0266	C
ċ	ALT 0267	c
Č	ALT 0268	C
č	ALT 0269	c
Ď	ALT 0270	D
ď	ALT 0271	d
Đ	ALT 0272	D
đ	ALT 0273	d
Ē	ALT 0274	E
ē	ALT 0275	e
Ĕ	ALT 0276	E
ĕ	ALT 0277	e
Ė	ALT 0278	E
ė	ALT 0279	e
Ę	ALT 0280	E
ę	ALT 0281	e
Ě	ALT 0282	E
ě	ALT 0283	e
Ĝ	ALT 0284	G
ĝ	ALT 0285	g
Ğ	ALT 0286	G
ğ	ALT 0287	g
Ġ	ALT 0288	G
ġ	ALT 0289	g
Ģ	ALT 0290	G
ģ	ALT 0291	g
Ĥ	ALT 0292	H
ĥ	ALT 0293	h
Ħ	ALT 0294	H
ħ	ALT 0295	h
Ĩ	ALT 0296	I
ĩ	ALT 0297	i
Ī	ALT 0298	I
ī	ALT 0299	i
Ĭ	ALT 0300	I
ĭ	ALT 0301	i
Į	ALT 0302	I
į	ALT 0303	i
İ	ALT 0304	I
ı	ALT 0305	i
Ĳ	ALT 0306	IJ
ĳ	ALT 0307	ij
Ĵ	ALT 0308	J
ĵ	ALT 0309	j
Ķ	ALT 0310	K
ķ	ALT 0311	k
Ĺ	ALT 0313	L
ĺ	ALT 0314	l
Ļ	ALT 0315	L
